Movie ID,Movie Name,Release Date,Director,Producer,Genre,Cast,Box Office Collection (INR),Production Budget (INR),Rating,Duration (Min),Language,Awards Won
M001,Dangal,2016-12-23,Nitesh Tiwari,Aamir Khan,Drama,"Aamir Khan, Fatima Sana",5193563149,878955119,6.0,199,40,49
M002,Dangal,2016-12-23,Nitesh Tiwari,Aamir Khan,Drama,"Aamir Khan, Fatima Sana",2437698294,1085261368,8.9,93,40,17
M003,Tanu Weds Manu,2011-02-25,Anand L. Rai,Aanand L. Rai,Comedy,"R. Madhavan, Kangana Ranaut",4365510752,474964184,8.8,148,12,17
M004,Sholay,1975-08-15,Ramesh Sippy,G.P. Sippy,Action,"Amitabh Bachchan, Dharmendra",4919730921,715760093,7.8,171,50,29
M005,Tanu Weds Manu,2011-02-25,Anand L. Rai,Aanand L. Rai,Comedy,"R. Madhavan, Kangana Ranaut",2535143533,434086030,7.6,196,12,10
M006,Sultan,2016-07-06,Ali Abbas Zafar,Aditya Chopra,Action,"Salman Khan, Anushka Sharma",4443751381,500924749,5.5,119,25,21
M007,Tanu Weds Manu,2011-02-25,Anand L. Rai,Aanand L. Rai,Comedy,"R. Madhavan, Kangana Ranaut",2414838446,334799846,7.0,174,12,10
M008,Dangal,2016-12-23,Nitesh Tiwari,Aamir Khan,Drama,"Aamir Khan, Fatima Sana",2921598374,1282267943,7.5,133,40,14
M009,Sultan,2016-07-06,Ali Abbas Zafar,Aditya Chopra,Action,"Salman Khan, Anushka Sharma",5843538718,1045115660,9.0,189,25,43
M010,Sultan,2016-07-06,Ali Abbas Zafar,Aditya Chopra,Action,"Salman Khan, Anushka Sharma",527066629,1103375382,6.9,178,25,12
M011,Product,2002-10-28,Tammy Anderson,Kenneth Dunn,Fantasy,"Jason Kirk, Sean Boone",5778771512,1295263100,6.8,167,Gujarati,10
M012,Sort provide,1982-09-23,Kathleen Johnson,Anthony Greene,Sci-Fi,"Benjamin Oneill, Toni Escobar",4116720322,1318403415,7.8,128,Gujarati,29
M013,Bill,1980-02-15,Tabitha Cox,Christopher Weber,Comedy,"Nancy Johnson, Ashley Cox",3018902111,1457612964,8.7,116,Tamil,8
M014,Data,2015-05-26,Christopher Harrison,Jeremy Diaz,Mystery,"Sophia Andrews, Tyler Schneider",5079569311,387468855,8.2,125,Telugu,29
M015,Accept,2023-09-27,Kristy Lucero,Tracy Jones,Romance,"Michael Steele, Johnny Fuentes",2928364808,945928269,6.6,161,Malayalam,21
M016,Whether,1990-02-10,Kelly Thompson,Julia West,Thriller,"Alyssa Cobb, Amy Neal",4482055602,343741089,6.0,143,Kannada,48
M017,Issue,1991-06-15,Randy Nichols,Leslie Hess,Action,"Jenna Strickland, Christian Reynolds",796321396,1280936036,8.6,135,Punjabi,16
M018,Important,2022-09-29,Ryan Edwards,Ms. Jenna Hubbard,Thriller,"Deborah Jenkins, Carlos Woodard",1866752411,1441795593,8.8,169,Hindi,36
